Review Text,Review Length,Thumb Text,Play Hours,Date Posted
"Just 100% completed the game.
It is a great game if you enjoyed playing the previous Spiderman games from insomniac.
However, if you want the game to look nice you will need a powerful PC and a good graphics card so check the recommended specs on the store page.
If you just enjoy the gameplay aspect of these games then go for it, my graphics card was below the recommended but i still enjoyed playing even though it didn't always look like an art piece.
Also you have 2 hours of game time (14 days of ownership) to check if you PC can handle it and if not you can refund it, steam is usually pretty good at that.",500,Recommended,23.8 hrs on record,Posted: July 6
if you got a good pc go for it,22,Recommended,26.5 hrs on record,Posted: July 6
"Do not attempt on steam deck, it runs so badly, looks awful",48,Not Recommended,2.0 hrs on record,Posted: July 6
great game,9,Recommended,4.3 hrs on record,Posted: July 6
It's like if they took the game spiderman 1 and then made a sequel to it.,58,Recommended,137.7 hrs on record,Posted: July 6
"Great game, OK port. (A couple weird graphical bugs and 2 full game freezes).
But my experience was nowhere near as bad as what other people have reported.
Game also worked great on the duelsense!",164,Recommended,27.2 hrs on record,Posted: July 6
Swinging through the city doing tricks into quick web-strike. Peak gameplay.,66,Recommended,4.6 hrs on record,Posted: July 6
Good story and combat mechanics. The twists were shocking but great. Always something to do in New York. Also a good soundtrack. Putting Miles and Peter's stories together this time was a good move,164,Recommended,25.8 hrs on record,Posted: July 6
Yass,4,Recommended,18.8 hrs on record,Posted: July 6
Controls are changalbe to match what you want good combat and story.,57,Recommended,7.7 hrs on record,Posted: July 5
"Poor performance, but a fantastic experience you can’t miss. I would highly recommend if you have a good pc. I would say skip if you have a low end pc or have high expectations for graphics and frame rate. The story is fantastic and the gameplay is smooth and addictive.",221,Recommended,29.8 hrs on record,Posted: July 6
"Product received for free

spiders but theyre men!",44,Recommended,27.7 hrs on record,Posted: July 5
runs fine on my 3070ti idk what everyone else complains about. Easily has the most content out of any other spiderman game and is actually my favorite in the franchise,138,Recommended,32.2 hrs on record,Posted: July 5
It was a bit overwhelming at the start since i haven't played the previous 2 games in a while but this definetly peaks it with new features and more than i asked for!,134,Recommended,13.1 hrs on record,Posted: July 5
Very bad optimization,19,Not Recommended,11.8 hrs on record,Posted: July 5
It's an amazing PS5 imported game.,29,Recommended,0.4 hrs on record,Posted: July 5
it fun,5,Recommended,9.4 hrs on record,Posted: July 5
this game is great with mods,23,Recommended,12.4 hrs on record,Posted: July 5
"Absolutely loved this game it's a great sequel that really builds on the gameplay of the first, although I didn't enjoy the story quite as much as the first game I still think this was a 10/10 story. If you haven't played this game you need to it is really great.",213,Recommended,16.9 hrs on record,Posted: July 5
"The game is fun... When it works

I've had the Game since early May and it ran fine for a few weeks. However, it randomly started crashing and freezing. The first time this happened was during a cut scene the audio continued playing, but the screen froze and the subtitles continued playing but were lagged out. Now the game will crash within at least half an hour of play time. My PC should run it fine, I've got a 9070xt, 48GB of RAM, A 7800X3D and a 2tb M.2 SSD. I'm not a particularly long way into the story because the game is unplayable. My CPU sits at 95%-100% usage the entire time I play it. It runs in 1440p with a mixture of high and ultra settings but just randomly freezes and it takes 15+ seconds for the game to even let me quit plus a further full minute for my PC to become usable again. No matter how many reports I seem to submit, nothing seems to be done about it. From the Steam Forums for the game I don't appear to be the only one with these problems, (if my memory serves correctly) people with RTX 5090s were also experiencing similar problems. It's not a graphics problem because I tried lowering settings to no avail and other games (like Black-myth Wukong) run at ""cinematic"" settings with max raytracing in native 1440p, (I also know this because for the 15-20 minutes it does run I have an average of 185 fps in spiderman 2). I don't know how to fix it so I've mostly avoided playing it, just checking up on it every few weeks.

I will update this comment if they patch this, because the game is otherwise worthwhile.",1259,Not Recommended,10.7 hrs on record,Posted: July 5
"Product refunded

I got this game and was super excited to play it. I played it for about 10/47 minutes that it was running. First, it took forever just for the initial cutscene to load. Then that cutscene was unskippable so I had to sit through a 5 minute video essentially. Then I got to play… for 30 seconds before being interrupted by yet another cutscene. There were probably 15 cutscenes in between “playing” the game. The tutorial took 37 minutes and that’s because about 27 seconds of those minutes were cutscenes. If I wanted to watch a Spider-Man movie, I would just watch it. I wanted to play a game, not watch a movie.
Also, the controls were not very intuitive. And I know you can change them, but that takes forever, and then you have to fix the controls that you replaced with the reassignments which just takes longer.
Unless you want to watch your video game, 2/10(graphics were good despite the cutscenes).",763,Not Recommended,0.6 hrs on record,Posted: July 5
Amazing or dare I say spectacular sequel! I'm so glad they made MJ's missions better. Can't wait for the next one.,94,Recommended,24.4 hrs on record,Posted: July 5
Very good I like it,15,Recommended,7.5 hrs on record,Posted: July 5
♥,1,Recommended,27.4 hrs on record,Posted: July 5
combat is fun and with a new parry mechanic. story is a bit lacking and falls apart the more you think about it.,90,Recommended,51.2 hrs on record,Posted: July 5
I like it and would recomend to ppl but the problem is rn for when i write this its not letting me play :/,83,Recommended,14.8 hrs on record,Posted: July 5
"The game’s great. Contrary to some of the other reviews, I didn’t run into any performance or technical issues during my playthrough.",112,Recommended,23.5 hrs on record,Posted: July 5
This game is good in some ways and bad in a lot in others honestly kinda mixed tbh.,66,Recommended,14.3 hrs on record,Posted: July 5
MJ is hot,7,Recommended,23.4 hrs on record,Posted: July 5
very fun espselly if you have little kids,34,Recommended,444.6 hrs on record,Posted: July 5
"Okay, Amazing game, Amazing story although it was a bit quick in my opinion. Seamless on SSD, wonderful experience.
I am running
rx 6600 + ryzen 5 3600 and it worked great. APART FROM THE CUTSCENES! SOME OF THE CUTSCENES WERE SO LAGGY IT WAS UNBEARABLE, other times it was running on a good 70-80 fps. Also first part of mysterio boss fight was laggy aswell. If somehow these part gets optimized itll become a 9/10 game.",346,Recommended,29.3 hrs on record,Posted: July 5
Great game play and great story!,27,Recommended,10.8 hrs on record,Posted: July 5
Definitely ruff around all the edges unless your running this with all the bells and whistles then don’t bother sad because I was looking forward to this one.,131,Not Recommended,4.6 hrs on record,Posted: July 5
exciting,8,Recommended,14.5 hrs on record,Posted: July 5
"Great game, better than Spider-Man MM while being on par if not way better than the first game.",78,Recommended,6.9 hrs on record,Posted: July 5
"Good port. A few graphical glitches that aren't present in the PS version and 1 crash, but overall really good",91,Recommended,48.2 hrs on record,Posted: July 5
it is good,8,Recommended,7.5 hrs on record,Posted: July 5
GG,2,Recommended,15.5 hrs on record,Posted: July 5
"While the game itself is good, this being Steam Deck verified is bs, even with FSR and Frame Gen on, it looks and runs like trash.

And its even badly optimized for the RTX 4070, sure its not the most powerful but its no weak cheap trash with an I5-14400F.",208,Not Recommended,2.1 hrs on record,Posted: July 5
"super fun game but terribly optimised. Waited months for the review to get positive and when they did and it went on sale i bought it and although for the most part it has been fine, i have also had 3 hard crashes and numerous instances of severe stuttering with about 10 hrs gameplay on my 4070ti.",242,Not Recommended,14.2 hrs on record,Posted: July 5
"Can't even play the game.... nothing but out of sync audio, constant loading/freezing gameplay, t pose/black cut scenes, glitches, just simply unplayable! Refunded.

My PC isn't the issue either, it's able to play beefier games than this with absolutely no issues. It's well above the recommended specs. I am very disappointed that I can't play it... Looks like I'll have to buy this for console to play :(",340,Not Recommended,1.2 hrs on record,Posted: July 5
"really fun, havent even played the first one yet.",41,Recommended,22.2 hrs on record,Posted: July 5
super fun :),10,Recommended,42.0 hrs on record,Posted: July 5
good game,8,Recommended,28.8 hrs on record,Posted: July 5
spider,6,Recommended,19.7 hrs on record,Posted: July 5
"Marvel's Spider-Man 2 retains much of the core from the first game, but falls short in character development, game play, and story. It feels under cooked, leaving a lot to be desired.",152,Not Recommended,40.9 hrs on record,Posted: July 5
"Product refunded

To my great disappointment the quality of this PC port is trash.",70,Not Recommended,1.2 hrs on record,Posted: July 5
good,4,Recommended,11.3 hrs on record,Posted: July 5
very good game,12,Recommended,26.2 hrs on record,Posted: July 5
"Product refunded

trash port, I try the setting, because at the start was with high setting and ray tracing, I though i nailed because I got solid 60 5 min later trash again. go away until you see from this point this date at least 5 updates. then you can buy it.",213,Not Recommended,0.6 hrs on record,Posted: July 5
"I love Spiderman games but I can't recommend this game in its current state, even on sale. The microstutters are constant and terrible. I'm running at 60-180 fps consistently, but the stuttering is unbearable. I've had sound desync from cutscenes, even freezing during cutscenes. I can't turn the camera on medium settings without stuttering.
I have a 4070 ti, and nothing is bottlenecked in task manager. Ray tracing and ultra settings don't make a difference in fps or stuttering, just like low settings and performance dlss upscaling do nothing. I moved the dstorage.dll files, no difference.

After the success of the Spiderman games, there is no excuse for a port this shoddy, this long after release. Last update was over a month ago.",620,Not Recommended,17.3 hrs on record,Posted: July 5
genuniely unplayable,19,Not Recommended,1.3 hrs on record,Posted: July 5
Good game,8,Recommended,26.5 hrs on record,Posted: July 5
good game at forty dollar but a great game for less,41,Recommended,33.5 hrs on record,Posted: July 5
good ghame,9,Recommended,16.1 hrs on record,Posted: July 5
"Nothing bad to say against it but the story, but the gameplay is amazing",59,Recommended,30.7 hrs on record,Posted: July 5
beautiful art!,13,Recommended,3.2 hrs on record,Posted: July 4
great,5,Recommended,10.6 hrs on record,Posted: July 4
is good game,10,Recommended,6.6 hrs on record,Posted: July 4
"Update: Got it working

10/10",26,Recommended,8.2 hrs on record,Posted: July 4
good game,8,Recommended,11.0 hrs on record,Posted: July 4
"Awesome game! Much faster swinging, super upgraded combat. Story has been great so far. We all know it's not optimized for PC (I'm not about to rattle off my specs - they're decent enough) but there's a quick fix on youtube (readjust the graphs from the launcher to very low, disable all visuals and then in the game set it all to medium or low if possible) that makes the game run smoothly.
I haven't had problems with it ever since (well, it crashed once but autosave worked well enough) and I don't mind the lower res (it's still pretty good even for low).
However, if you care about aesthetics, then yeah, maybe it won't run at full speed and you won't get that experience. But story-wise and mechanically, I do think this game is amazing.",610,Recommended,26.4 hrs on record,Posted: July 4
"🕷️ This isn’t just a superhero game. It’s the definition of what a sequel should be.

From the moment I slung into the skies of New York, I knew I was in for something special.

The web-swinging? Even smoother than the first game. It’s not traversal—it’s art.

The combat? So fluid and responsive, every punch felt like it was choreographed by a Marvel fight director.

The story? Gripping. Emotional. Personal. It balances two Spider-Men with heart and intensity without missing a beat.

Peter’s arc hits hard in ways I didn’t expect.
Miles continues to shine, not just as a hero—but as a human being trying to balance loss, identity, and legacy.
And the villains? Let's just say… they’re not just obstacles. They’re stories of their own.

Every mission feels intentional. Every scene feels cinematic.
The voice acting, the music, the visuals—top tier. You can feel the love Insomniac poured into this from start to finish.

Whether I was gliding through Harlem or facing one of the most intense boss fights in PlayStation history, I was completely immersed.

Spider-Man 2 is not just a game—it’s an experience.
It respects the fans. It pushes boundaries. It tells a story that matters.

10/10.
A masterpiece that soars higher than ever before.",1052,Recommended,22.2 hrs on record,Posted: July 4
its a great spiderman game,22,Recommended,44.2 hrs on record,Posted: July 4
ىالاالا,7,Recommended,24.1 hrs on record,Posted: July 4
"Idk i read all the reviews about how poorly it runs, but it runs fantastic on my 3070ti - ~90fps high settings. Also game is ♥♥♥♥♥♥♥ sick. I'd recommend if you have a fairly decent GPU",149,Recommended,21.2 hrs on record,Posted: July 4
Love this game,12,Recommended,48.0 hrs on record,Posted: July 4
"Has the storytelling of Spider-Man 1, better combat compared to Miles Morales, and a bunch of button mashing. W game",97,Recommended,20.0 hrs on record,Posted: July 4
good game,8,Recommended,36.0 hrs on record,Posted: July 4
"I bought the game, and honestly this might be the worst optimization I’ve ever seen. It's almost laughable, some characters even disappear during cutscenes, on top of that, the audio glitches, and the game constantly lags, my pc can handle any game, I played the first Spider-Man on very high settings with no issues at all. But this one runs terribly, even on the lowest settings. It needs a fix asap",331,Not Recommended,6.9 hrs on record,Posted: July 4
"The stories fine, as good as the last two and the gameplay is fun.

But they needed to spend more time on optimization and less time on stupid one off mini games. I'm having fun with the game with all of a sudden it stops for me to 20 mins of unskippable mini games.

Not to mention the bugs, so far I have been able to google most of the work arounds or it fixes on reloading but its kind of ridiculous.",325,Not Recommended,11.5 hrs on record,Posted: July 4
"not as good on the ps5 but comes close game has a bit of glitches still, also kinda sucks they put in a patch to make it hard to mod. would like to see some more working mods in the future",148,Recommended,31.1 hrs on record,Posted: July 4
great game but can somone help on how to do miles special air tricks?,56,Recommended,28.7 hrs on record,Posted: July 4
"im not sure if its just me, but im having issues trying to even load the game on my main rig (rRX 6800xt / R9 5900x /128gb 3600mhz / 2tb nvme for newer games)

oddly runs fine on my secondary and backup pc (i5 13400f / rtx 4060 / 32gb 5000mhz /2tb nvme) (r7 5700x / rtx 3070 / 64gb 3600mhz / 1tb nvme) ...on these two systems the game loads within a minute and runs perfectly...

my main rig (and these two) are fullly updated etc and yet the game refuses to run..

side note, im about 10hrs in and actually loving it much like the previous games :) ...seems if your running an nvidia gpu you should be fine..",492,Recommended,20.7 hrs on record,Posted: July 4
"After all ive heard about this game beforehand, i think its pretty fantastic",64,Recommended,17.1 hrs on record,Posted: July 4
very fun and super entertaining action and story,41,Recommended,35.5 hrs on record,Posted: July 4
Good,4,Recommended,26.6 hrs on record,Posted: July 4
Great game even if it is a copy and paste of part 1. What are you gonna do right?,63,Recommended,5.8 hrs on record,Posted: July 4
Absolutely wonderful,19,Recommended,30.2 hrs on record,Posted: July 4
cant wait for spiderman 3,21,Recommended,33.8 hrs on record,Posted: July 4
I have a very modern PC and a Nvidia 4090. Even so the game plays considerably worse than the ps5 version even with the graphics just set to High and many features turned off. Cutscenes stutter and the game crashes. I’ve requested a refund and won’t try again until many more patches are released. A terrible port.,258,Not Recommended,1.3 hrs on record,Posted: July 4
"I don't get what people are saying about poor performance. I am comfortably hitting 60 FPS — mostly around 120 FPS although with a lot of variance — with a 9950X3D and RTX 4090. Seems like they're having a skill issue, idk.

Anyway, game is great. It's really what you'd expect of a AAA game with lots of time spent introducing and digging into characters while maintaining decent pacing. There's also some surprising details in the gameplay that you really don't expect but that help build the world.

It being on PC is also a nice bonus, you can still use a DualShock controller while not having the e-waste of an unupgradable and unrepairable console, plus you can use mods. Shoutout to Overstrike.",581,Recommended,12.6 hrs on record,Posted: July 4
"Marvel's Spider-Man 2 on PC: A Web-Slinging Masterpiece Soars to New Heights
Marvel's Spider-Man 2 swings onto PC with all the exhilarating action, heartfelt storytelling, and stunning visuals that made it a console hit, now enhanced with the power and flexibility of the PC platform. Insomniac Games, with Nixxes Software's expert optimization, has delivered a truly remarkable experience that not only lives up to its predecessors but elevates the superhero gaming genre to new, breathtaking levels. From the moment you launch yourself into the expanded New York City, it's clear this is a labor of love, offering an unparalleled adventure for fans and newcomers alike.

The core gameplay loop remains as addictive and polished as ever, with traversal being a particular highlight. Web-swinging through the city feels incredibly fluid and dynamic, now made even more exhilarating with the addition of the Web Wings, allowing for seamless transitions between high-speed aerial glides and intricate web maneuvers. Combat, too, has evolved, offering a deeper and more varied experience. Switching between Peter Parker's new, aggressive symbiote abilities and Miles Morales' electrifying bio-electric powers adds a strategic layer to every encounter, encouraging creative combos and satisfying takedowns against a diverse rogues' gallery.

Beyond the thrilling action, Marvel's Spider-Man 2 truly shines in its gripping narrative and compelling character development. The story masterfully balances the dual perspectives of Peter and Miles, exploring their individual struggles and the weight of their responsibilities as Spider-Men. The introduction of iconic villains like Kraven the Hunter and, most notably, Venom, is handled with incredible care, delivering impactful and emotionally resonant arcs. The voice acting is superb, bringing these beloved characters to life with nuance and intensity, making every cutscene and interaction feel genuinely impactful.

On the technical front, the PC port is nothing short of fantastic. Nixxes Software has once again proven their prowess, delivering a highly optimized experience that takes full advantage of PC hardware. With support for unlocked framerates, NVIDIA DLSS 3, AMD FSR 3.1, and Intel XeSS, players can tailor the visual fidelity and performance to their specific setups, ensuring smooth and stunning gameplay. Ray-traced reflections and shadows further immerse you in the vibrant world of Marvel's New York, while ultrawide monitor support provides an expansive, cinematic view of the action. The game looks and runs beautifully, making the already impressive visuals even more breathtaking.

In conclusion, Marvel's Spider-Man 2 on PC is an absolute must-play for anyone seeking an exceptional superhero adventure. It combines thrilling gameplay, a captivating story, and stellar PC optimization into a cohesive and unforgettable experience. The seamless character switching, expanded traversal options, and nuanced narrative make this a true highlight in gaming. Insomniac and Nixxes have set a new standard for superhero titles on PC, and I wholeheartedly recommend swinging into this incredible journey.",2709,Recommended,13.1 hrs on record,Posted: July 4
good,4,Recommended,22.6 hrs on record,Posted: July 4
That was just awesome. Loved it from start to finish,43,Recommended,33.1 hrs on record,Posted: July 4
"Great Fun Game, feels like im spida man, but over woke and super black fatigue",64,Recommended,36.0 hrs on record,Posted: July 4
the game is fun but the best part is the black cat cutscenes as a pro gooner its simplie PEAK,74,Recommended,36.5 hrs on record,Posted: July 4
im addicted now,13,Recommended,32.3 hrs on record,Posted: July 4
perfect game,11,Recommended,7.2 hrs on record,Posted: July 4
"Months have passed and still no patches to address perf issues, same with tlou2, nixxes strikes again, won't be buying or recommending their awful ports",128,Not Recommended,10.5 hrs on record,Posted: July 4
"The game shoves gay, deaf(disabled), ""modern"", woke cliches at you left and right. Even the enemies come off as woke at times. It feels forced in a way that is not natural. The writing is also mid to poor so far. Gameplay felt better in the first game.",205,Not Recommended,15.5 hrs on record,Posted: July 4
I am Spider-Man,13,Recommended,21.4 hrs on record,Posted: July 4
greatest marvel game after the first spider man game.,45,Recommended,17.5 hrs on record,Posted: July 4
SPECTACULAR GAME,15,Recommended,55.7 hrs on record,Posted: July 4
"i like marvel, spider man is one of my top 2 fav marvel heros, the svinging is fun so i recommend",77,Recommended,16.1 hrs on record,Posted: July 4
"Product received for free

Very good game you should get this game 100/100",63,Recommended,18.3 hrs on record,Posted: July 4
"Product refunded

Fix your damn game!! It keeps crashing",49,Not Recommended,1.0 hrs on record,Posted: July 3
i am spider,9,Recommended,39.3 hrs on record,Posted: July 3
"I want to like this game but I can't. The controls and targeting are insanely frustrating, it never targets the person you are looking at who right in front of you instead opting to target the guy way in the back on the right making zero sense. The Parkour and Run mechanic are the same button meaning you can't run without doing parkour and you can't do parkour without running. Wanna climb slowly? Too bad. Wanna run on the ground without trying to climb everything around you? Too bad. These game mechanics feel like they went 10 years in the wrong direction while making this.",476,Not Recommended,13.4 hrs on record,Posted: July 4
"This game would be a hit or miss when it comes to performance. Menuscreen and the intro all ran fine and above 60-155 fps, the second I hit town in the aftermath of Sandman and the game tanked into the 15-35fps region, with framegen on. This was a refund for me. The reviews tried to warn me, they were correct performance is kinda bad. Turned raytracing on, off, bit of a difference, but even tanking my settings the game stayed unplayable for that part.",372,Not Recommended,0.7 hrs on record,Posted: July 4
"Product refunded

For reference Spider Man 2 is one of my favorite games of the decade but I'm convinced Sony purposefully pushed for this port to be as bad as possible to coerce people into buying a PS5",167,Not Recommended,1.3 hrs on record,Posted: July 4
"Excellent port to PC. If you play with a PS controller, the speakers work as if it were on the playstation too!",90,Recommended,9.1 hrs on record,Posted: July 3
Should of just called it Mary Jane instead.,36,Not Recommended,41.9 hrs on record,Posted: July 3
yous swang around kicking hoes and on god it be bussin,44,Recommended,54.4 hrs on record,Posted: July 3
"Very fun, been playing for a few hours and only experienced one crash so far.",63,Recommended,13.6 hrs on record,Posted: July 3
Peak.,5,Recommended,28.6 hrs on record,Posted: July 3
a,1,Recommended,21.9 hrs on record,Posted: July 3
"It's the Best of both worlds, You get to play as Peter Parker and Miles Morales ? it feels like i died and went to heaven. 10\10",102,Recommended,26.3 hrs on record,Posted: July 3
"No, just no",9,Not Recommended,12.7 hrs on record,Posted: July 3
W,1,Recommended,26.5 hrs on record,Posted: July 3
"Product refunded

Stutter fest on handheld PC's.
Tested on rog ally x running bazzite and tested again running on windows. You need to tinker a bit and some folks don't like that.
Also tested on steam deck. Runs fine on a 3070 desktop.",196,Not Recommended,0.3 hrs on record,Posted: July 3
best spiderman game,17,Recommended,19.5 hrs on record,Posted: July 3
great game,9,Recommended,13.8 hrs on record,Posted: July 3
"fun game, not nearly enough content to justify spending full price imo",59,Recommended,33.7 hrs on record,Posted: July 3
peter and miles are cool,20,Recommended,27.1 hrs on record,Posted: July 3
loving this game,14,Recommended,21.8 hrs on record,Posted: July 3
"Absolute fan of spider man. Completed the first game twice and was very excited about this one. Overall the story is great, I liked it, though the story in the first game is better in my opinion.

Second line stories weren't that interesting, so I skipped half of them.

What I really liked is that the game changed some gameplay mechanics, at first it felt weird, but it is nice to have something new.

Having more city ares is fantastic. In the first game I always wanted to sit on a ship that sails, but it wasn't possible. Here you can do it :)

My main problem is that the game is still not fully optimized. Lags and freezes would happen quite often, still playable, but gets very annoying eventually. I have rtx 3070 and the game had almost all graphic setting on max from start, but due to lags and freezes I had to decrease it several times to the point where I was playing on low settings and it still would sometimes have performance issues, though significantly less. Overall it doesn't ruin the game (especially assuming it became a typical issue in game industry), but can be annoying.

I would say overall 8/10, but keep in mind that I am biased due to my love for spidey and this game series overall. Just hope that 3rd game will do better with optimization.",1045,Recommended,25.3 hrs on record,Posted: July 3
"Overall, it's a decent Spider-Man game. Feels similar to the first Spider-Man but with a lot more bells & whistles that don't really make it better.

Pros:
I really liked they way they implemented both Spider-Men. You can easily swap between them and the other will sometimes join you in a fight.
The City and game are beautiful to look at. Feels like a living world.
Suits from prior movies and TV shows are implemented in a fun way.

Cons:
The story/writing is really bad. Things just happen without reason.
The new systems make the game unnecessarily complicated. Even at a regular difficulty, you need to make good use of all your skills and abilities to survive.
The game doesn't really feel expanded from the first one, just rehashed.",620,Recommended,28.8 hrs on record,Posted: July 3
Mj stealth missions make this games fun factor plummet below bedrock. i genuinely hated them in spiderman 1 and now theyre back in spiderman 2. these are the most boring missions i have ever taken part in,168,Not Recommended,11.3 hrs on record,Posted: July 3
Great to sequel to a great game. Sucks that it isn't as optimized as the first game but I had a blast with my 1660 ti and 9700k.,101,Recommended,20.9 hrs on record,Posted: July 3
"I honestly have no words! Every little nitpick, or thing I wish was done better in the first game was done here! Such as caught and thrown rockets not exploding (They do now), the button mash to stop cars (I kinda got attached to it tho) Fast travel only going to limited spots and feeling bland, the awkward pause of battle to go into your webshooter scroll wheel, ect. Everything is done perfectly! And don't even get me started on the story, and all the side quests!",383,Recommended,22.7 hrs on record,Posted: July 3
good good good good good,20,Recommended,12.9 hrs on record,Posted: July 3
j,1,Recommended,20.9 hrs on record,Posted: July 3
makes you feel like spiderman,25,Recommended,23.6 hrs on record,Posted: July 3
yess very good,12,Recommended,23.8 hrs on record,Posted: July 3
"Fire game all the way through. 100% the game and did around 85% of achievements. Ran with no issues so that's a plus.

Running a Ryzen 9, 9900x & RTX 5070.",126,Recommended,39.4 hrs on record,Posted: July 3
its long,7,Recommended,21.3 hrs on record,Posted: July 3
Mid,3,Not Recommended,2.5 hrs on record,Posted: July 3
verywell made game wwould recomend cant whate to see more,48,Recommended,32.8 hrs on record,Posted: July 3
good game,8,Recommended,38.4 hrs on record,Posted: July 3
Wish I read the feedback for the steam deck before I bought it. It really doesn't work. Lags in every way. From cinematic to fighting to pretty much everything else. You can put it on all the lowest settings and it still won't run properly. Please valve take this game off of verified cause it clearly showes you didn't actually test the game on the steam deck before you approved it.,314,Not Recommended,0.5 hrs on record,Posted: July 3
pider man,8,Recommended,130.0 hrs on record,Posted: July 3
FUN AF,5,Recommended,22.4 hrs on record,Posted: July 3
Cant run this game even on a beefy computer. Don't waste your money until they sort it out...,76,Not Recommended,0.8 hrs on record,Posted: July 3
IT IS SO ♥♥♥♥♥♥♥♥ GREAT :),21,Recommended,42.3 hrs on record,Posted: July 3
game is a 10/10,12,Recommended,7.8 hrs on record,Posted: July 3
