,review_text,review_length,feedback,play_hours,date_posted
64,"Good port. A few graphical glitches that aren't present in the PS version and 1 crash, but overall really good",91,1,48.2,2025-07-05
65,it is good,8,1,7.5,2025-07-05
66,GG,2,1,15.5,2025-07-05
67,"While the game itself is good, this being Steam Deck verified is bs, even with FSR and Frame Gen on, it looks and runs like trash.

And its even badly optimized for the RTX 4070, sure its not the most powerful but its no weak cheap trash with an I5-14400F.",208,0,2.1,2025-07-05
68,"super fun game but terribly optimised. Waited months for the review to get positive and when they did and it went on sale i bought it and although for the most part it has been fine, i have also had 3 hard crashes and numerous instances of severe stuttering with about 10 hrs gameplay on my 4070ti.",242,0,14.2,2025-07-05
69,"Can't even play the game.... nothing but out of sync audio, constant loading/freezing gameplay, t pose/black cut scenes, glitches, just simply unplayable! Refunded.

My PC isn't the issue either, it's able to play beefier games than this with absolutely no issues. It's well above the recommended specs. I am very disappointed that I can't play it... Looks like I'll have to buy this for console to play :(",340,0,1.2,2025-07-05
70,"really fun, havent even played the first one yet.",41,1,22.2,2025-07-05
71,super fun :),10,1,42.0,2025-07-05
72,good game,8,1,28.8,2025-07-05
73,spider,6,1,19.7,2025-07-05
74,"Marvel's Spider-Man 2 retains much of the core from the first game, but falls short in character development, game play, and story. It feels under cooked, leaving a lot to be desired.",152,0,40.9,2025-07-05
75,"Product refunded

To my great disappointment the quality of this PC port is trash.",70,0,1.2,2025-07-05
76,good,4,1,11.3,2025-07-05
77,very good game,12,1,26.2,2025-07-05
78,"Product refunded

trash port, I try the setting, because at the start was with high setting and ray tracing, I though i nailed because I got solid 60 5 min later trash again. go away until you see from this point this date at least 5 updates. then you can buy it.",213,0,0.6,2025-07-05
79,"I love Spiderman games but I can't recommend this game in its current state, even on sale. The microstutters are constant and terrible. I'm running at 60-180 fps consistently, but the stuttering is unbearable. I've had sound desync from cutscenes, even freezing during cutscenes. I can't turn the camera on medium settings without stuttering.
I have a 4070 ti, and nothing is bottlenecked in task manager. Ray tracing and ultra settings don't make a difference in fps or stuttering, just like low settings and performance dlss upscaling do nothing. I moved the dstorage.dll files, no difference.

After the success of the Spiderman games, there is no excuse for a port this shoddy, this long after release. Last update was over a month ago.",620,0,17.3,2025-07-05
80,genuniely unplayable,19,0,1.3,2025-07-05
81,Good game,8,1,26.5,2025-07-05
82,good game at forty dollar but a great game for less,41,1,33.5,2025-07-05
83,good ghame,9,1,16.1,2025-07-05
84,"Nothing bad to say against it but the story, but the gameplay is amazing",59,1,30.7,2025-07-05
85,beautiful art!,13,1,3.2,2025-07-04
86,great,5,1,10.6,2025-07-04
87,is good game,10,1,6.6,2025-07-04
88,"Update: Got it working

10/10",26,1,8.2,2025-07-04
89,good game,8,1,11.0,2025-07-04
90,"Awesome game! Much faster swinging, super upgraded combat. Story has been great so far. We all know it's not optimized for PC (I'm not about to rattle off my specs - they're decent enough) but there's a quick fix on youtube (readjust the graphs from the launcher to very low, disable all visuals and then in the game set it all to medium or low if possible) that makes the game run smoothly.
I haven't had problems with it ever since (well, it crashed once but autosave worked well enough) and I don't mind the lower res (it's still pretty good even for low).
However, if you care about aesthetics, then yeah, maybe it won't run at full speed and you won't get that experience. But story-wise and mechanically, I do think this game is amazing.",610,1,26.4,2025-07-04
91,"🕷️ This isn’t just a superhero game. It’s the definition of what a sequel should be.

From the moment I slung into the skies of New York, I knew I was in for something special.

The web-swinging? Even smoother than the first game. It’s not traversal—it’s art.

The combat? So fluid and responsive, every punch felt like it was choreographed by a Marvel fight director.

The story? Gripping. Emotional. Personal. It balances two Spider-Men with heart and intensity without missing a beat.

Peter’s arc hits hard in ways I didn’t expect.
Miles continues to shine, not just as a hero—but as a human being trying to balance loss, identity, and legacy.
And the villains? Let's just say… they’re not just obstacles. They’re stories of their own.

Every mission feels intentional. Every scene feels cinematic.
The voice acting, the music, the visuals—top tier. You can feel the love Insomniac poured into this from start to finish.

Whether I was gliding through Harlem or facing one of the most intense boss fights in PlayStation history, I was completely immersed.

Spider-Man 2 is not just a game—it’s an experience.
It respects the fans. It pushes boundaries. It tells a story that matters.

10/10.
A masterpiece that soars higher than ever before.",1052,1,22.2,2025-07-04
92,its a great spiderman game,22,1,44.2,2025-07-04
93,ىالاالا,7,1,24.1,2025-07-04
94,"Idk i read all the reviews about how poorly it runs, but it runs fantastic on my 3070ti - ~90fps high settings. Also game is ♥♥♥♥♥♥♥ sick. I'd recommend if you have a fairly decent GPU",149,1,21.2,2025-07-04
95,Love this game,12,1,48.0,2025-07-04
96,"Has the storytelling of Spider-Man 1, better combat compared to Miles Morales, and a bunch of button mashing. W game",97,1,20.0,2025-07-04
97,good game,8,1,36.0,2025-07-04
98,"I bought the game, and honestly this might be the worst optimization I’ve ever seen. It's almost laughable, some characters even disappear during cutscenes, on top of that, the audio glitches, and the game constantly lags, my pc can handle any game, I played the first Spider-Man on very high settings with no issues at all. But this one runs terribly, even on the lowest settings. It needs a fix asap",331,0,6.9,2025-07-04
99,"The stories fine, as good as the last two and the gameplay is fun.

But they needed to spend more time on optimization and less time on stupid one off mini games. I'm having fun with the game with all of a sudden it stops for me to 20 mins of unskippable mini games.

Not to mention the bugs, so far I have been able to google most of the work arounds or it fixes on reloading but its kind of ridiculous.",325,0,11.5,2025-07-04
100,"not as good on the ps5 but comes close game has a bit of glitches still, also kinda sucks they put in a patch to make it hard to mod. would like to see some more working mods in the future",148,1,31.1,2025-07-04
101,great game but can somone help on how to do miles special air tricks?,56,1,28.7,2025-07-04
102,"im not sure if its just me, but im having issues trying to even load the game on my main rig (rRX 6800xt / R9 5900x /128gb 3600mhz / 2tb nvme for newer games)

oddly runs fine on my secondary and backup pc (i5 13400f / rtx 4060 / 32gb 5000mhz /2tb nvme) (r7 5700x / rtx 3070 / 64gb 3600mhz / 1tb nvme) ...on these two systems the game loads within a minute and runs perfectly...

my main rig (and these two) are fullly updated etc and yet the game refuses to run..

side note, im about 10hrs in and actually loving it much like the previous games :) ...seems if your running an nvidia gpu you should be fine..",492,1,20.7,2025-07-04
103,"After all ive heard about this game beforehand, i think its pretty fantastic",64,1,17.1,2025-07-04
104,very fun and super entertaining action and story,41,1,35.5,2025-07-04
105,Good,4,1,26.6,2025-07-04
106,Great game even if it is a copy and paste of part 1. What are you gonna do right?,63,1,5.8,2025-07-04
107,Absolutely wonderful,19,1,30.2,2025-07-04
108,cant wait for spiderman 3,21,1,33.8,2025-07-04
109,I have a very modern PC and a Nvidia 4090. Even so the game plays considerably worse than the ps5 version even with the graphics just set to High and many features turned off. Cutscenes stutter and the game crashes. I’ve requested a refund and won’t try again until many more patches are released. A terrible port.,258,0,1.3,2025-07-04
110,"I don't get what people are saying about poor performance. I am comfortably hitting 60 FPS — mostly around 120 FPS although with a lot of variance — with a 9950X3D and RTX 4090. Seems like they're having a skill issue, idk.

Anyway, game is great. It's really what you'd expect of a AAA game with lots of time spent introducing and digging into characters while maintaining decent pacing. There's also some surprising details in the gameplay that you really don't expect but that help build the world.

It being on PC is also a nice bonus, you can still use a DualShock controller while not having the e-waste of an unupgradable and unrepairable console, plus you can use mods. Shoutout to Overstrike.",581,1,12.6,2025-07-04
111,"Marvel's Spider-Man 2 on PC: A Web-Slinging Masterpiece Soars to New Heights
Marvel's Spider-Man 2 swings onto PC with all the exhilarating action, heartfelt storytelling, and stunning visuals that made it a console hit, now enhanced with the power and flexibility of the PC platform. Insomniac Games, with Nixxes Software's expert optimization, has delivered a truly remarkable experience that not only lives up to its predecessors but elevates the superhero gaming genre to new, breathtaking levels. From the moment you launch yourself into the expanded New York City, it's clear this is a labor of love, offering an unparalleled adventure for fans and newcomers alike.

The core gameplay loop remains as addictive and polished as ever, with traversal being a particular highlight. Web-swinging through the city feels incredibly fluid and dynamic, now made even more exhilarating with the addition of the Web Wings, allowing for seamless transitions between high-speed aerial glides and intricate web maneuvers. Combat, too, has evolved, offering a deeper and more varied experience. Switching between Peter Parker's new, aggressive symbiote abilities and Miles Morales' electrifying bio-electric powers adds a strategic layer to every encounter, encouraging creative combos and satisfying takedowns against a diverse rogues' gallery.

Beyond the thrilling action, Marvel's Spider-Man 2 truly shines in its gripping narrative and compelling character development. The story masterfully balances the dual perspectives of Peter and Miles, exploring their individual struggles and the weight of their responsibilities as Spider-Men. The introduction of iconic villains like Kraven the Hunter and, most notably, Venom, is handled with incredible care, delivering impactful and emotionally resonant arcs. The voice acting is superb, bringing these beloved characters to life with nuance and intensity, making every cutscene and interaction feel genuinely impactful.

On the technical front, the PC port is nothing short of fantastic. Nixxes Software has once again proven their prowess, delivering a highly optimized experience that takes full advantage of PC hardware. With support for unlocked framerates, NVIDIA DLSS 3, AMD FSR 3.1, and Intel XeSS, players can tailor the visual fidelity and performance to their specific setups, ensuring smooth and stunning gameplay. Ray-traced reflections and shadows further immerse you in the vibrant world of Marvel's New York, while ultrawide monitor support provides an expansive, cinematic view of the action. The game looks and runs beautifully, making the already impressive visuals even more breathtaking.

In conclusion, Marvel's Spider-Man 2 on PC is an absolute must-play for anyone seeking an exceptional superhero adventure. It combines thrilling gameplay, a captivating story, and stellar PC optimization into a cohesive and unforgettable experience. The seamless character switching, expanded traversal options, and nuanced narrative make this a true highlight in gaming. Insomniac and Nixxes have set a new standard for superhero titles on PC, and I wholeheartedly recommend swinging into this incredible journey.",2709,1,13.1,2025-07-04
112,good,4,1,22.6,2025-07-04
113,That was just awesome. Loved it from start to finish,43,1,33.1,2025-07-04
114,"Great Fun Game, feels like im spida man, but over woke and super black fatigue",64,1,36.0,2025-07-04
115,the game is fun but the best part is the black cat cutscenes as a pro gooner its simplie PEAK,74,1,36.5,2025-07-04
116,im addicted now,13,1,32.3,2025-07-04
117,perfect game,11,1,7.2,2025-07-04
118,"Months have passed and still no patches to address perf issues, same with tlou2, nixxes strikes again, won't be buying or recommending their awful ports",128,0,10.5,2025-07-04
119,"The game shoves gay, deaf(disabled), ""modern"", woke cliches at you left and right. Even the enemies come off as woke at times. It feels forced in a way that is not natural. The writing is also mid to poor so far. Gameplay felt better in the first game.",205,0,15.5,2025-07-04
120,I am Spider-Man,13,1,21.4,2025-07-04
121,greatest marvel game after the first spider man game.,45,1,17.5,2025-07-04
122,SPECTACULAR GAME,15,1,55.7,2025-07-04
123,"i like marvel, spider man is one of my top 2 fav marvel heros, the svinging is fun so i recommend",77,1,16.1,2025-07-04
124,"Product received for free

Very good game you should get this game 100/100",63,1,18.3,2025-07-04
125,"Product refunded

Fix your damn game!! It keeps crashing",49,0,1.0,2025-07-03
126,i am spider,9,1,39.3,2025-07-03
127,"I want to like this game but I can't. The controls and targeting are insanely frustrating, it never targets the person you are looking at who right in front of you instead opting to target the guy way in the back on the right making zero sense. The Parkour and Run mechanic are the same button meaning you can't run without doing parkour and you can't do parkour without running. Wanna climb slowly? Too bad. Wanna run on the ground without trying to climb everything around you? Too bad. These game mechanics feel like they went 10 years in the wrong direction while making this.",476,0,13.4,2025-07-04
128,"This game would be a hit or miss when it comes to performance. Menuscreen and the intro all ran fine and above 60-155 fps, the second I hit town in the aftermath of Sandman and the game tanked into the 15-35fps region, with framegen on. This was a refund for me. The reviews tried to warn me, they were correct performance is kinda bad. Turned raytracing on, off, bit of a difference, but even tanking my settings the game stayed unplayable for that part.",372,0,0.7,2025-07-04
129,"Product refunded

For reference Spider Man 2 is one of my favorite games of the decade but I'm convinced Sony purposefully pushed for this port to be as bad as possible to coerce people into buying a PS5",167,0,1.3,2025-07-04
130,"Excellent port to PC. If you play with a PS controller, the speakers work as if it were on the playstation too!",90,1,9.1,2025-07-03
131,Should of just called it Mary Jane instead.,36,0,41.9,2025-07-03
132,yous swang around kicking hoes and on god it be bussin,44,1,54.4,2025-07-03
133,"Very fun, been playing for a few hours and only experienced one crash so far.",63,1,13.6,2025-07-03
134,Peak.,5,1,28.6,2025-07-03
135,a,1,1,21.9,2025-07-03
136,"It's the Best of both worlds, You get to play as Peter Parker and Miles Morales ? it feels like i died and went to heaven. 10\10",102,1,26.3,2025-07-03
137,"No, just no",9,0,12.7,2025-07-03
138,W,1,1,26.5,2025-07-03
139,"Product refunded

Stutter fest on handheld PC's.
Tested on rog ally x running bazzite and tested again running on windows. You need to tinker a bit and some folks don't like that.
Also tested on steam deck. Runs fine on a 3070 desktop.",196,0,0.3,2025-07-03
140,best spiderman game,17,1,19.5,2025-07-03
141,great game,9,1,13.8,2025-07-03
142,"fun game, not nearly enough content to justify spending full price imo",59,1,33.7,2025-07-03
143,peter and miles are cool,20,1,27.1,2025-07-03
144,loving this game,14,1,21.8,2025-07-03
145,"Absolute fan of spider man. Completed the first game twice and was very excited about this one. Overall the story is great, I liked it, though the story in the first game is better in my opinion.

Second line stories weren't that interesting, so I skipped half of them.

What I really liked is that the game changed some gameplay mechanics, at first it felt weird, but it is nice to have something new.

Having more city ares is fantastic. In the first game I always wanted to sit on a ship that sails, but it wasn't possible. Here you can do it :)

My main problem is that the game is still not fully optimized. Lags and freezes would happen quite often, still playable, but gets very annoying eventually. I have rtx 3070 and the game had almost all graphic setting on max from start, but due to lags and freezes I had to decrease it several times to the point where I was playing on low settings and it still would sometimes have performance issues, though significantly less. Overall it doesn't ruin the game (especially assuming it became a typical issue in game industry), but can be annoying.

I would say overall 8/10, but keep in mind that I am biased due to my love for spidey and this game series overall. Just hope that 3rd game will do better with optimization.",1045,1,25.3,2025-07-03
146,"Overall, it's a decent Spider-Man game. Feels similar to the first Spider-Man but with a lot more bells & whistles that don't really make it better.

Pros:
I really liked they way they implemented both Spider-Men. You can easily swap between them and the other will sometimes join you in a fight.
The City and game are beautiful to look at. Feels like a living world.
Suits from prior movies and TV shows are implemented in a fun way.

Cons:
The story/writing is really bad. Things just happen without reason.
The new systems make the game unnecessarily complicated. Even at a regular difficulty, you need to make good use of all your skills and abilities to survive.
The game doesn't really feel expanded from the first one, just rehashed.",620,1,28.8,2025-07-03
147,Mj stealth missions make this games fun factor plummet below bedrock. i genuinely hated them in spiderman 1 and now theyre back in spiderman 2. these are the most boring missions i have ever taken part in,168,0,11.3,2025-07-03
148,Great to sequel to a great game. Sucks that it isn't as optimized as the first game but I had a blast with my 1660 ti and 9700k.,101,1,20.9,2025-07-03
149,"I honestly have no words! Every little nitpick, or thing I wish was done better in the first game was done here! Such as caught and thrown rockets not exploding (They do now), the button mash to stop cars (I kinda got attached to it tho) Fast travel only going to limited spots and feeling bland, the awkward pause of battle to go into your webshooter scroll wheel, ect. Everything is done perfectly! And don't even get me started on the story, and all the side quests!",383,1,22.7,2025-07-03
150,good good good good good,20,1,12.9,2025-07-03
151,j,1,1,20.9,2025-07-03
152,makes you feel like spiderman,25,1,23.6,2025-07-03
153,yess very good,12,1,23.8,2025-07-03
154,"Fire game all the way through. 100% the game and did around 85% of achievements. Ran with no issues so that's a plus.

Running a Ryzen 9, 9900x & RTX 5070.",126,1,39.4,2025-07-03
155,its long,7,1,21.3,2025-07-03
156,Mid,3,0,2.5,2025-07-03
157,verywell made game wwould recomend cant whate to see more,48,1,32.8,2025-07-03
158,good game,8,1,38.4,2025-07-03
159,Wish I read the feedback for the steam deck before I bought it. It really doesn't work. Lags in every way. From cinematic to fighting to pretty much everything else. You can put it on all the lowest settings and it still won't run properly. Please valve take this game off of verified cause it clearly showes you didn't actually test the game on the steam deck before you approved it.,314,0,0.5,2025-07-03
160,pider man,8,1,130.0,2025-07-03
161,FUN AF,5,1,22.4,2025-07-03
162,Cant run this game even on a beefy computer. Don't waste your money until they sort it out...,76,0,0.8,2025-07-03
163,IT IS SO ♥♥♥♥♥♥♥♥ GREAT :),21,1,42.3,2025-07-03
164,game is a 10/10,12,1,7.8,2025-07-03
165,"I have played this franchise before (the first two thanks to that woman holding a spoon) and I love them all! While this is the first Spider-Man I bought, I will not miss the opportunity to provide feedback. Everything is great, the plot, the progression, the dialogues, everything, except for one thing.

I have rx 5500xt right now, paired with amd ryzen 5 2600 and 16gb ram. I installed this game on an NVME SSD. I already put the dlss files to a new folder within the game's local folder to enhance the performance of the game. Thinking I have the bare minimum of the specs needed to run this game, I thought that it is normal for the game to 'pause and load' while transitioning to another area. I have already tweaked every possible configurations in the graphics menu, I even tried it at the lowest and now my settings are at custom ranging from low to medium, and I never had any issues, aside from TRAVERSAL STUTTER. The only problem I encounter is when moving to another area and it pauses and the loading icon appears. I had a few problems like I webslinged into an unrendered building, trapping me inside.

I read the community here about the lags and it seems that I was not the only experiencing the same issue, like those people even have better specs and yet they still experience the traversal stutter. Based on what I have also read, this issue can be fixed by the game creators.

Man, I love this game. I even 100% the Spider-man 1 and Miles Morales and even kept playing for hours after. Right now, I can't recommend this to anybody, but I'm willing to change it. I just wish Insomniac can do something about this.",1338,0,44.1,2025-07-03
166,good,4,1,24.9,2025-07-03
167,"Amazing story, beautifully written characters.",42,1,28.0,2025-07-03
168,"Game runs okay, my PC only crashed 8 times. 4 of which were during the Mysterio boss fight. I feel the story is amazing; the Spider-man (2018) has a longer story due to DLC but it took me 32 hours to finish everything in the base game other than new game plus. The boss fights are super easy and the normal fights feel amazing.

Boss fights 7.5/10

Combat 9/10 (To me the ability recharge needs to be slightly faster)

Story 8.5/10 (loved it, However I dock points due to no DLC)

Price (ok get it on sale)

things to do 10/10 ( felt like a good size thank God it is not like Arkham City with over 200 Riddler trophy's)

Graphics (10/10) ran and look Amazing with my 3070 and 3700x

Should you get it (Only on sale)",585,1,36.3,2025-07-03
169,"Product received for free

fix the patches with other clients",53,0,12.1,2025-07-03
170,It is good.,9,1,23.3,2025-07-03
171,One of my best gaming experiences.,29,1,8.7,2025-07-03
172,lil buggy but fun,14,1,38.9,2025-07-03
173,This is a steaming pile of garbage. It crashes often and does not play well on PC even if your rig exceeds the requirements. Stay away from this title.,123,0,4.4,2025-07-03
174,i liked the game but the crashed were to much,36,1,15.6,2025-07-03
175,10/10,5,1,34.9,2025-07-02
176,I LOVE THIS GAME,13,1,44.4,2025-07-02
177,very good game,12,1,37.3,2025-07-02
178,"I have a pretty solid rig but this game runs like ass. The story and the gameplay both very good. I would've loved this game, but right now its not optimized very well for PC. Luckily I managed to finish the story before experiencing crashes. Seems like the side missions is what triggers crashes idk. Would not recommend if you want a smooth experience.",291,0,25.7,2025-07-02
179,"With patch 10 and you're set with the lowest or medium settings, game plays well However the cutscence needs a lot of work it just badly optimized cutscences, not recommended right now, and not even %20 off now.

I played both spider-man games on steam deck it ran almost perfectly.",234,0,1.8,2025-07-02
180,if you like spider-man than this is for you.,36,1,44.5,2025-07-02
181,"once again, you guys make me forget the time and go crazy, thank you",55,1,8.5,2025-07-02
182,THE BEST!!,9,1,33.9,2025-07-02
183,"Very good game, I had some bugs in the start but after that the game ran perfectly, it is a hard to run game.",86,1,20.7,2025-07-02
184,"Don't buy it now.

Wait the dev optimize the game.
The game is unable to play now.",68,0,0.4,2025-07-02
